REGIONAL,CELLS,Dmin1-STATUS,Dmin2-STATUS,FINAL-STATUS
12,138028-24,PASS,UNDEFINED,PASS
12,138028-34,UNDEFINED,UNDEFINED,UNDEFINED
12,138036-13,UNDEFINED,UNDEFINED,UNDEFINED
12,138036-23,PASS,UNDEFINED,PASS
12,138036-33,PASS,UNDEFINED,PASS
12,138096-13,UNDEFINED,UNDEFINED,UNDEFINED
12,138096-23,PASS,UNDEFINED,PASS
12,138096-33,PASS,UNDEFINED,PASS
12,138154-12,PASS,UNDEFINED,PASS
12,138154-22,UNDEFINED,UNDEFINED,UNDEFINED
12,138154-32,PASS,UNDEFINED,PASS
12,138155-13,PASS,UNDEFINED,PASS
12,138155-23,UNDEFINED,UNDEFINED,UNDEFINED
12,138155-33,PASS,UNDEFINED,PASS
12,138322-13,UNDEFINED,UNDEFINED,UNDEFINED
12,138322-23,PASS,UNDEFINED,PASS
12,138322-33,PASS,UNDEFINED,PASS
12,138373-13,UNDEFINED,UNDEFINED,UNDEFINED
12,138373-23,PASS,UNDEFINED,PASS
12,138373-33,PASS,UNDEFINED,PASS
12,138432-11,PASS,UNDEFINED,PASS
12,138432-21,PASS,UNDEFINED,PASS
12,138432-31,UNDEFINED,UNDEFINED,UNDEFINED
12,138563-11,PASS,UNDEFINED,PASS
12,138563-21,PASS,UNDEFINED,PASS
12,138563-31,UNDEFINED,UNDEFINED,UNDEFINED
12,139050-13,UNDEFINED,UNDEFINED,UNDEFINED
12,139050-23,UNDEFINED,UNDEFINED,UNDEFINED
12,139050-33,UNDEFINED,UNDEFINED,UNDEFINED
12,139051-13,PASS,UNDEFINED,PASS
12,139051-23,UNDEFINED,UNDEFINED,UNDEFINED
12,139051-33,PASS,UNDEFINED,PASS
12,140017-13,UNDEFINED,UNDEFINED,UNDEFINED
12,140017-23,PASS,UNDEFINED,PASS
12,140017-33,PASS,UNDEFINED,PASS
3,140027-13,UNDEFINED,UNDEFINED,UNDEFINED
3,140027-23,UNDEFINED,UNDEFINED,UNDEFINED
3,140027-33,UNDEFINED,UNDEFINED,UNDEFINED
12,140608-13,UNDEFINED,UNDEFINED,UNDEFINED
12,140608-23,UNDEFINED,UNDEFINED,UNDEFINED
12,140608-33,UNDEFINED,UNDEFINED,UNDEFINED
12,140646-13,UNDEFINED,UNDEFINED,UNDEFINED
12,140646-23,PASS,UNDEFINED,PASS
12,140646-33,PASS,UNDEFINED,PASS
12,140695-13,UNDEFINED,UNDEFINED,UNDEFINED
12,140695-23,PASS,UNDEFINED,PASS
12,140695-33,PASS,UNDEFINED,PASS
12,141014-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141014-23,UNDEFINED,UNDEFINED,UNDEFINED
12,141014-33,UNDEFINED,UNDEFINED,UNDEFINED
12,141022-13,PASS,UNDEFINED,PASS
12,141022-23,PASS,UNDEFINED,PASS
12,141022-33,UNDEFINED,UNDEFINED,UNDEFINED
12,141027-12,UNDEFINED,UNDEFINED,UNDEFINED
12,141027-22,PASS,UNDEFINED,PASS
12,141027-32,PASS,UNDEFINED,PASS
12,141048-13,PASS,UNDEFINED,PASS
12,141048-23,UNDEFINED,UNDEFINED,UNDEFINED
12,141048-33,PASS,UNDEFINED,PASS
12,141054-13,PASS,UNDEFINED,PASS
12,141054-23,PASS,UNDEFINED,PASS
12,141054-33,UNDEFINED,UNDEFINED,UNDEFINED
12,141058-11,PASS,UNDEFINED,PASS
12,141058-21,PASS,UNDEFINED,PASS
12,141058-31,UNDEFINED,UNDEFINED,UNDEFINED
12,141104-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141104-23,PASS,UNDEFINED,PASS
12,141104-33,PASS,UNDEFINED,PASS
12,141152-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141152-23,PASS,UNDEFINED,PASS
12,141152-33,PASS,UNDEFINED,PASS
12,141154-12,UNDEFINED,UNDEFINED,UNDEFINED
12,141154-22,PASS,UNDEFINED,PASS
12,141154-32,PASS,UNDEFINED,PASS
12,141182-12,PASS,UNDEFINED,PASS
12,141182-22,PASS,UNDEFINED,PASS
12,141182-32,UNDEFINED,UNDEFINED,UNDEFINED
12,141283-11,PASS,UNDEFINED,PASS
12,141283-21,PASS,UNDEFINED,PASS
12,141283-31,UNDEFINED,UNDEFINED,UNDEFINED
12,141610-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141610-23,UNDEFINED,UNDEFINED,UNDEFINED
12,141610-33,UNDEFINED,UNDEFINED,UNDEFINED
12,141651-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141651-23,PASS,UNDEFINED,PASS
12,141651-33,PASS,UNDEFINED,PASS
12,141697-13,UNDEFINED,UNDEFINED,UNDEFINED
12,141697-23,PASS,UNDEFINED,PASS
12,141697-33,PASS,UNDEFINED,PASS
12,141786-13,PASS,UNDEFINED,PASS
12,141786-23,UNDEFINED,UNDEFINED,UNDEFINED
12,141786-33,PASS,UNDEFINED,PASS
12,141850-12,PASS,UNDEFINED,PASS
12,141850-22,UNDEFINED,UNDEFINED,UNDEFINED
12,141850-32,PASS,UNDEFINED,PASS
12,141851-13,PASS,UNDEFINED,PASS
12,141851-23,UNDEFINED,UNDEFINED,UNDEFINED
12,141851-33,PASS,UNDEFINED,PASS
3,142003-13,UNDEFINED,UNDEFINED,UNDEFINED
3,142003-23,PASS,UNDEFINED,PASS
3,142003-33,PASS,UNDEFINED,PASS
12,142004-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142004-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142004-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142009-13,PASS,UNDEFINED,PASS
12,142009-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142009-33,PASS,UNDEFINED,PASS
12,142010-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142010-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142010-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142014-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142014-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142014-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142015-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142015-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142015-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142019-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142019-23,PASS,UNDEFINED,PASS
12,142019-33,PASS,UNDEFINED,PASS
12,142027-13,PASS,UNDEFINED,PASS
12,142027-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142027-33,PASS,UNDEFINED,PASS
12,142036-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142036-23,PASS,UNDEFINED,PASS
12,142036-33,PASS,UNDEFINED,PASS
12,142037-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142037-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142037-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142041-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142041-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142041-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142048-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142048-23,PASS,UNDEFINED,PASS
12,142048-33,PASS,UNDEFINED,PASS
12,142051-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142051-23,PASS,UNDEFINED,PASS
12,142051-33,PASS,UNDEFINED,PASS
12,142057-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142057-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142057-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142073-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142608-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142608-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142608-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142613-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142613-23,PASS,UNDEFINED,PASS
12,142613-33,PASS,UNDEFINED,PASS
12,142633-13,PASS,UNDEFINED,PASS
12,142633-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142633-33,PASS,UNDEFINED,PASS
12,142660-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142660-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142660-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142663-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142663-23,PASS,UNDEFINED,PASS
12,142663-33,PASS,UNDEFINED,PASS
12,142665-13,PASS,UNDEFINED,PASS
12,142665-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142665-33,PASS,UNDEFINED,PASS
12,142687-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142687-23,UNDEFINED,UNDEFINED,UNDEFINED
12,142687-33,UNDEFINED,UNDEFINED,UNDEFINED
12,142753-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142753-23,PASS,UNDEFINED,PASS
12,142753-33,PASS,UNDEFINED,PASS
12,142757-13,UNDEFINED,UNDEFINED,UNDEFINED
12,142757-23,PASS,UNDEFINED,PASS
12,142757-33,PASS,UNDEFINED,PASS
12,143007-13,UNDEFINED,UNDEFINED,UNDEFINED
12,143007-23,UNDEFINED,UNDEFINED,UNDEFINED
12,143007-33,UNDEFINED,UNDEFINED,UNDEFINED
